id,drawing_number,revision,part_name,customer_name,item_code,r2_key,file_name,type,is_active,created_at,created_by,issue_date,package_size,oil_group,pallet_type,boxes_per_pallet,shelf_life,item_number
6778393f-5bd9-44a3-b437-746226f6865e,D-0423,00,ENEOS LSD GEAR OIL 85W-140 (NOSE CONE),ENEOS,40001932,drawing/D-0423_rev00_1783931617920.pdf,40001932 D-0423 rev.00 ENEOS LSD GEAR OIL 85W-140 (NOSE CONE).pdf,drawing,true,2026-07-13 08:33:38.711813+00,yeanyeen,2024-10-31,1 x 12 L.,GEAR OIL,,40,,
67abd791-4051-41d4-bcf0-0143953df69f,D-0279,00,ENEOS Eco Plus CF 40,ENEOS,40001419,drawing/D-0279_rev00_1784096720318.pdf,40001419 D-0279 rev.00 ENEOS Eco Plus CF 40.pdf,drawing,true,2026-07-15 06:25:20.989001+00,yeanyeen,2024-10-07,5 x 4 L.,ENGINE OIL,,32,,
68f7b272-e024-41eb-b306-8e4bd09643a6,D-0093,00,Mitsubishi Genuine Engine Oil 0W-20 API SN,ENEOS,40002126,drawing/D-0093_rev00_1784773979118.pdf,40002126 D-0093 rev.00 Mitsubishi Genuine Engine Oil 0W-20 API SN.pdf,drawing,true,2026-07-23 02:33:00.800529+00,yeanyeen,2026-07-21,1 x 24 L.,ENGINE OIL,,20,2 years,
69702686-c517-47f1-b1f2-1cc97462a18a,D-0390,02,ENEOS X PRIME ATF,ENEOS,40001857,drawing/D-0390_rev02_1783931602306.pdf,40001857 D-0390 rev.02 ENEOS X PRIME ATF.pdf,drawing,true,2026-07-13 08:33:23.082165+00,yeanyeen,2024-10-31,4 x 4 L.,,,40,,
6a939d25-74be-433c-966d-a20fb3f5703f,D-0376,02,ENEOS DIESEL PLUS CI-4 10W-30,ENEOS,40001809,drawing/D-0376_rev02_1784096123286.pdf,40001809 D-0376 rev.02 ENEOS DIESEL PLUS CI-4 10W-30.pdf,drawing,false,2026-07-15 06:15:24.517968+00,yeanyeen,2024-09-25,1 x 6 L.,ENGINE OIL,ไม้,24,,
6ba22e7a-caf2-4197-b8e7-f8032efe9509,E-0030,03,ENEOS 4T SL/MB 10W-30 (NOEA),ENEOS,40001515,drawing/E-0030_rev03_1784096747513.pdf,40001515 E-0030 rev.03 ENEOS 4T SL/MB 10W-30 (NOEA).pdf,drawing,false,2026-07-15 06:25:48.091265+00,yeanyeen,2024-09-06,0.8 x 24 L.,ENGINE OIL,,20,,
6c734467-feb2-4d74-8eaa-3412ead9127a,D-0444,00,Yamalube 4T SAE40,ENEOS,40002092,drawing/D-0444_rev00_1784008960915.pdf,40002092 D-0444 rev.00 Yamalube 4T SAE40.pdf,drawing,true,2026-07-14 06:02:41.858499+00,yeanyeen,2026-05-19,20 x 1 L.,ENGINE OIL,,,2 years,
6f0ba845-ffb2-4183-8830-ea880cbe17f5,D-0151,02,HONDA P. GOLD 4T JASO MA 10W-30 ND (08233-2MAK8LT3),ENEOS,40001660,drawing/D-0151_rev02_1784088596105.pdf,40001660 D-0151 rev.02 HONDA P. GOLD 4T JASO MA 10W-30 ND (08233-2MAK8LT3).pdf,drawing,true,2026-07-15 04:09:57.236581+00,yeanyeen,2021-07-16,0.8 x 12 L.,ENGINE OIL,,,,
6fd930d7-7c1b-4ff0-9cd9-33abb48f82a9,D-0272,01,C2 OIL,ENEOS,40002100,drawing/D-0272_rev01_1784008953234.pdf,40002100 D-0272 rev.01 C2 OIL.pdf,drawing,true,2026-07-14 06:02:34.53771+00,yeanyeen,2026-05-20,200 L.,ENGINE OIL,ไม้,4,,
707a89e1-4f58-4a29-82ba-c4c1a7b8617b,D-0410,00,ISUZU ATF WSI (THAI),ENEOS,40001937,drawing/D-0410_rev00_1783931618992.pdf,40001937 D-0410 rev.00 ISUZU ATF WSI (THAI).pdf,drawing,false,2026-07-13 08:33:39.730202+00,yeanyeen,2024-08-19,1 x 24 L.,,,55,,
708022d8-cdff-48d0-94a6-2c643a11cca1,D-0393,00,ENEOS TOP RACING SP 5W-30,ENEOS,40001881,drawing/D-0393_rev00_1783931604401.pdf,40001881 D-0393 rev.00 ENEOS TOP RACING SP 5W-30.pdf,drawing,true,2026-07-13 08:33:25.098914+00,yeanyeen,2023-12-12,4 x 4 L.,ENGINE OIL,,40,,
70824415-c93e-4ac6-acb1-9894cb415284,SM-ENTH-0045,00,ENEOS SCOOTER GEAR OIL (N) (4000027),ENEOS,4000027,master/SM-ENTH-0045_rev00_1784797110662.pdf,4000027 SM-ENTH-0045 rev.00 ENEOS SCOOTER GEAR OIL (N) (4000027).pdf,master,true,2026-07-23 08:58:33.204488+00,yeanyeen,2025-11-03,0.12 x 24 L.,GEAR OIL,ไม้,60,3 years,60233045E785A
72836ae7-68c9-48a2-b3f2-2ec3cce5b37a,D-0396,01,ENEOS X 5W-40 SP PREMIUM FULLY SYN,ENEOS,40001841,drawing/D-0396_rev01_1783931598107.pdf,40001841 D-0396 rev.01 ENEOS X 5W-40 SP PREMIUM FULLY SYN.pdf,drawing,true,2026-07-13 08:33:18.907309+00,yeanyeen,2024-10-08,1 x 24 L.,,,50,,
74a5f208-282a-448a-a462-9e694c6d4982,D-0338,01,200L G.II 150 N,ENEOS,40001748,drawing/D-0338_rev01_1783993634182.pdf,40001748 D-0338 rev.01 200L G.II 150 N.pdf,drawing,true,2026-07-14 01:47:15.347389+00,yeanyeen,2026-02-18,200 L.,GEAR OIL,,,,
755f02a5-2653-4135-a7d4-0209ebb7c22c,SM-ENTH-0017,00,ENEOS PREMIUM FULLY SYN COMMONRAIL 5W-30,ENEOS,40001954,master/SM-ENTH-0017_rev0_1783913534170.pdf,40001954 SM-ENTH-0017 rev.0 ENEOS PREMIUM FULLY SYN COMMONRAIL 5W-30.pdf,master,true,2026-07-13 03:32:15.593196+00,yeanyeen,2025-06-23,1 x 24 L.,ENGINE OIL,ไม้,24,4 years,60231323A713P
76af7d6a-68b1-4d7e-8e45-cb4dfe46e5bc,D-0276,02,HONDA MARINE OIL 5W40,ENEOS,40002099,drawing/D-0276_rev02_1784165582254.pdf,40002099 D-0276 rev.02 HONDA MARINE OIL 5W40.pdf,drawing,true,2026-07-16 01:33:05.683369+00,yeanyeen,2026-07-09,4 x 4 L.,ENGINE OIL,,40,2 years,
76ef093c-dde0-4230-8afd-59906cf55005,D-0374,01,ENEOS MOTO MA SAE 10W-40 + Premium,ENEOS,40001824,drawing/D-0374_rev01_1783929082247.pdf,40001824 D-0374 rev.01 ENEOS MOTO MA SAE 10W-40 + Premium.pdf,drawing,false,2026-07-13 07:51:23.403596+00,yeanyeen,2024-10-31,1 x 12 L.,ENGINE OIL,,50,,
77b402ae-a32f-4b99-8562-bd7dc5a39a6e,SM-OR-0024,00,PTT HI-SPEED 2T NP (20/0.5L)PPRD,PTTOR,407065,master/SM-OR-0024_rev0_1784528489491.pdf,407065 SM-OR-0024 rev.0 PTT HI-SPEED 2T NP (20/0.5L)PPRD.pdf,master,true,2026-07-20 06:21:30.626582+00,yeanyeen,2025-10-11,0.5 x 20 L.,ENGINE OIL,พลาสติก,84,3 years,61656505G797A
